compatibility,outfit_sample
1,"['199244701_6','199244701_1','0','199244701_2']"
1,"['200742384_5','200742384_1','0','200742384_2']"
1,"['220340816_5','220340816_1','0','220340816_2']"
1,"['217183057_4','217183057_1','0','217183057_2']"
1,"['199287279_5','199287279_1','0','199287279_2']"
1,"['225139325_6','225139325_1','0','225139325_2']"
1,"['223613586_6','223613586_1','0','223613586_2']"
1,"['206933845_6','206933845_1','0','206933845_3']"
1,"['220189264_4','0','0','220189264_1']"
1,"['219816430_3','219816430_1','0','219816430_2']"
1,"['133059337_2','0','0','133059337_1']"
1,"['224535216_7','224535216_1','0','224535216_2']"
1,"['218740991_4','218740991_1','0','218740991_2']"
1,"['139137852_3','139137852_1','139137852_4','139137852_2']"
1,"['220785821_2','0','0','220785821_1']"
1,"['161808845_4','161808845_1','0','161808845_2']"
1,"['219216307_5','219216307_1','0','219216307_2']"
1,"['221144164_5','221144164_1','0','221144164_2']"
1,"['136144667_7','136144667_2','136144667_9','136144667_3']"
1,"['170897888_3','170897888_1','0','170897888_2']"
1,"['225267219_5','0','0','225267219_1']"
1,"['184256339_6','184256339_1','184256339_7','184256339_2']"
1,"['220542731_5','220542731_1','0','220542731_2']"
1,"['220379596_5','220379596_1','0','220379596_2']"
1,"['221653431_5','221653431_1','0','221653431_2']"
1,"['222167698_4','222167698_1','0','222167698_2']"
1,"['221006541_5','221006541_1','0','221006541_2']"
1,"['220546723_5','220546723_1','0','220546723_2']"
1,"['223000627_5','223000627_1','0','223000627_2']"
1,"['200579710_5','200579710_1','0','200579710_2']"
1,"['220759588_3','0','220759588_4','220759588_1']"
1,"['156518464_5','156518464_1','0','156518464_2']"
1,"['206499366_3','206499366_1','206499366_4','206499366_2']"
1,"['223876176_4','223876176_1','0','223876176_2']"
1,"['204092370_4','204092370_1','0','204092370_2']"
1,"['211745515_4','0','0','211745515_1']"
1,"['224136692_10','224136692_1','0','224136692_3']"
1,"['217429405_5','217429405_1','0','217429405_2']"
1,"['214553159_5','214553159_1','0','214553159_2']"
1,"['222641701_7','222641701_1','0','222641701_2']"
1,"['210501764_7','210501764_1','210501764_8','210501764_2']"
1,"['214247063_3','214247063_1','214247063_4','214247063_2']"
1,"['217319102_4','217319102_1','217319102_5','217319102_2']"
1,"['219010815_5','219010815_1','0','219010815_2']"
1,"['177384013_4','177384013_1','177384013_5','177384013_2']"
1,"['215835462_6','215835462_1','0','215835462_2']"
1,"['223896676_3','0','0','223896676_1']"
1,"['218765802_5','0','0','218765802_1']"
1,"['224960072_7','224960072_1','0','224960072_2']"
1,"['217147869_4','217147869_1','0','217147869_2']"
1,"['225105037_4','225105037_1','0','225105037_2']"
1,"['210486672_4','210486672_1','0','210486672_2']"
1,"['212690384_4','212690384_2','0','212690384_3']"
1,"['224936318_3','224936318_1','0','224936318_2']"
1,"['221196379_4','221196379_1','0','221196379_2']"
1,"['163144572_4','163144572_1','0','163144572_2']"
1,"['218800161_5','218800161_1','0','218800161_2']"
1,"['220378843_4','220378843_1','0','220378843_2']"
1,"['223313067_5','223313067_1','223313067_6','223313067_2']"
1,"['210064922_5','210064922_1','0','210064922_2']"
1,"['217821072_5','217821072_1','0','217821072_2']"
1,"['217337734_3','217337734_1','0','217337734_2']"
1,"['224588921_3','224588921_1','0','224588921_2']"
1,"['223508730_4','223508730_1','0','223508730_2']"
1,"['204091041_3','204091041_1','0','204091041_2']"
1,"['225102210_5','225102210_1','0','225102210_2']"
1,"['222431092_6','222431092_1','0','222431092_2']"
1,"['165217874_3','165217874_1','0','165217874_2']"
1,"['207901421_4','207901421_1','0','207901421_2']"
1,"['223205519_6','223205519_1','0','223205519_2']"
1,"['207153404_5','207153404_1','0','207153404_2']"
1,"['220165555_4','220165555_1','220165555_5','220165555_2']"
1,"['223040432_3','223040432_1','223040432_4','223040432_2']"
1,"['175171683_4','175171683_1','0','175171683_2']"
1,"['224936758_5','224936758_1','0','224936758_2']"
1,"['199314558_3','199314558_1','0','199314558_2']"
1,"['221851408_5','221851408_1','0','221851408_2']"
1,"['136724002_6','136724002_1','0','136724002_2']"
1,"['223896086_3','223896086_1','0','223896086_2']"
1,"['221660647_6','221660647_1','0','221660647_2']"
1,"['149352954_4','149352954_1','0','149352954_2']"
1,"['221520217_5','221520217_1','221520217_6','221520217_2']"
1,"['200396892_5','200396892_1','0','200396892_2']"
1,"['189898600_5','189898600_1','0','189898600_2']"
1,"['224999849_6','224999849_1','0','224999849_2']"
1,"['224711445_5','224711445_1','0','224711445_2']"
1,"['218945812_4','218945812_1','0','218945812_2']"
1,"['217037472_4','217037472_1','0','217037472_2']"
1,"['221554060_3','221554060_1','221554060_4','221554060_2']"
1,"['218061792_5','218061792_1','0','218061792_2']"
1,"['223363618_3','0','0','223363618_1']"
1,"['216010340_3','216010340_1','0','216010340_2']"
1,"['225281482_3','225281482_1','0','225281482_2']"
1,"['223997943_4','223997943_1','0','223997943_2']"
1,"['42423648_3','42423648_1','42423648_4','42423648_2']"
1,"['212760413_3','212760413_1','0','212760413_2']"
1,"['222301165_3','222301165_1','0','222301165_2']"
1,"['218564230_3','218564230_1','218564230_4','218564230_2']"
1,"['222412179_4','222412179_1','0','222412179_2']"
1,"['222052263_3','222052263_1','0','222052263_2']"
1,"['221817258_5','221817258_1','0','221817258_2']"
1,"['212387772_3','212387772_1','212387772_4','212387772_2']"
1,"['170047143_5','170047143_1','0','170047143_2']"
1,"['220459823_4','220459823_1','0','220459823_2']"
1,"['218541209_5','218541209_1','218541209_6','218541209_2']"
1,"['119346513_4','119346513_1','0','119346513_2']"
1,"['217442937_3','217442937_1','217442937_4','217442937_2']"
1,"['210637403_5','210637403_1','0','210637403_2']"
1,"['224970990_3','224970990_1','0','224970990_2']"
1,"['218897723_4','218897723_1','0','218897723_2']"
1,"['191769603_3','191769603_1','191769603_4','191769603_2']"
1,"['223632377_5','223632377_1','0','223632377_2']"
1,"['174383355_3','174383355_1','0','174383355_2']"
1,"['214379946_4','214379946_1','0','214379946_2']"
1,"['219334048_4','219334048_1','0','219334048_2']"
1,"['216867849_6','216867849_1','216867849_7','216867849_2']"
1,"['220967026_3','220967026_1','0','220967026_2']"
1,"['218836535_6','218836535_1','218836535_7','218836535_2']"
1,"['223860207_3','223860207_1','0','223860207_2']"
1,"['223369198_5','223369198_1','0','223369198_2']"
1,"['204139106_3','204139106_1','0','204139106_2']"
1,"['220788952_5','220788952_1','0','220788952_2']"
1,"['222819249_5','222819249_1','222819249_6','222819249_2']"
1,"['224195371_7','224195371_1','0','224195371_2']"
1,"['221649862_5','221649862_1','221649862_6','221649862_2']"
1,"['222489804_5','222489804_1','0','222489804_2']"
1,"['223592726_4','223592726_1','0','223592726_2']"
1,"['221888119_3','221888119_1','0','221888119_2']"
1,"['223384339_4','223384339_1','223384339_5','223384339_2']"
1,"['220792957_5','220792957_1','220792957_6','220792957_2']"
1,"['222759815_4','222759815_1','0','222759815_2']"
1,"['225181462_3','0','0','225181462_1']"
1,"['224708714_3','224708714_1','0','224708714_2']"
1,"['219644111_6','219644111_1','0','219644111_2']"
1,"['220788823_5','220788823_1','0','220788823_2']"
1,"['222361444_6','222361444_1','0','222361444_2']"
1,"['219475967_4','219475967_1','0','219475967_2']"
1,"['210597810_4','0','0','210597810_1']"
1,"['208803624_5','208803624_1','0','208803624_2']"
1,"['224691449_7','224691449_1','0','224691449_3']"
1,"['222464590_9','222464590_1','0','222464590_2']"
1,"['224935223_4','0','0','224935223_1']"
1,"['222593346_4','222593346_1','0','222593346_2']"
1,"['210748432_4','210748432_1','210748432_5','210748432_2']"
1,"['217917751_3','217917751_1','0','217917751_2']"
1,"['224589785_3','0','0','224589785_1']"
1,"['206529637_5','206529637_1','0','206529637_2']"
1,"['219974214_5','219974214_1','0','219974214_2']"
1,"['224054384_6','224054384_1','0','224054384_2']"
1,"['223232134_4','0','0','223232134_1']"
1,"['215095993_3','215095993_1','215095993_5','215095993_2']"
1,"['215424592_4','215424592_1','0','215424592_2']"
1,"['211871039_5','211871039_1','211871039_6','211871039_2']"
1,"['199699353_4','199699353_1','0','199699353_2']"
1,"['216114328_5','216114328_1','0','216114328_2']"
1,"['223071056_5','223071056_1','0','223071056_2']"
1,"['177476796_8','177476796_1','177476796_10','177476796_2']"
1,"['224269511_4','224269511_1','0','224269511_2']"
1,"['201200959_5','201200959_1','0','201200959_2']"
1,"['221848171_4','221848171_1','221848171_5','221848171_2']"
1,"['223095395_5','223095395_1','0','223095395_2']"
1,"['224937368_5','0','0','224937368_1']"
1,"['218431156_3','218431156_1','218431156_4','218431156_2']"
1,"['216872602_5','216872602_1','0','216872602_2']"
1,"['219626563_8','219626563_1','0','219626563_2']"
1,"['222325527_4','222325527_1','0','222325527_2']"
1,"['210306274_4','210306274_1','0','210306274_2']"
1,"['192590088_5','192590088_1','192590088_6','192590088_2']"
1,"['215259761_6','215259761_1','0','215259761_2']"
1,"['220174008_4','220174008_1','0','220174008_2']"
1,"['212553136_5','212553136_1','0','212553136_2']"
1,"['218335555_6','218335555_1','218335555_7','218335555_2']"
1,"['221703270_5','221703270_1','0','221703270_2']"
1,"['222253772_4','222253772_1','0','222253772_2']"
1,"['198503283_5','198503283_1','0','198503283_2']"
1,"['169439892_4','169439892_1','169439892_5','169439892_2']"
1,"['220763030_3','220763030_1','0','220763030_2']"
1,"['216829540_5','216829540_1','0','216829540_2']"
1,"['217726913_5','217726913_1','217726913_6','217726913_2']"
1,"['222074981_3','222074981_1','0','222074981_2']"
1,"['223119234_5','223119234_1','0','223119234_2']"
1,"['217437898_3','0','0','217437898_1']"
1,"['217619360_3','217619360_1','0','217619360_2']"
1,"['218757199_4','218757199_1','0','218757199_2']"
1,"['224367042_3','0','224367042_4','224367042_1']"
1,"['224929417_3','0','0','224929417_1']"
1,"['219096188_5','219096188_1','0','219096188_2']"
1,"['221804957_4','221804957_1','221804957_5','221804957_2']"
1,"['202934032_4','202934032_1','0','202934032_2']"
1,"['223108961_8','223108961_1','0','223108961_2']"
1,"['194745306_5','194745306_1','0','194745306_2']"
1,"['223909622_4','223909622_1','0','223909622_2']"
1,"['207437890_5','207437890_1','0','207437890_2']"
1,"['211947212_3','211947212_1','0','211947212_2']"
1,"['224074511_4','0','0','224074511_1']"
1,"['206749970_5','206749970_1','0','206749970_2']"
1,"['209553126_8','209553126_1','0','209553126_2']"
1,"['220472901_6','220472901_1','0','220472901_2']"
1,"['217515941_6','217515941_1','217515941_7','217515941_2']"
1,"['218845619_5','0','218845619_6','218845619_1']"
1,"['127534517_4','127534517_1','0','127534517_2']"
1,"['201548990_4','201548990_1','0','201548990_2']"
1,"['225176982_5','225176982_1','0','225176982_2']"
1,"['218701757_3','218701757_1','218701757_4','218701757_2']"
1,"['225332730_2','0','0','225332730_1']"
1,"['223765570_5','223765570_1','0','223765570_2']"
1,"['218740949_4','218740949_1','0','218740949_2']"
1,"['173462670_4','173462670_1','173462670_5','173462670_2']"
1,"['224323664_3','224323664_1','0','224323664_2']"
1,"['193387900_3','193387900_1','193387900_4','193387900_2']"
1,"['225128910_5','225128910_1','0','225128910_2']"
1,"['220797757_4','220797757_1','0','220797757_2']"
1,"['98463793_5','98463793_1','98463793_6','98463793_2']"
1,"['19886640_7','19886640_1','0','19886640_2']"
1,"['224707415_5','224707415_1','0','224707415_2']"
1,"['222412782_4','222412782_1','0','222412782_2']"
1,"['190532464_6','190532464_1','190532464_8','190532464_2']"
1,"['157902642_4','157902642_1','157902642_5','157902642_2']"
1,"['210213697_5','210213697_1','0','210213697_2']"
1,"['185011753_3','185011753_1','0','185011753_2']"
1,"['219573809_4','219573809_1','0','219573809_2']"
1,"['213495027_4','213495027_1','0','213495027_2']"
1,"['221364603_5','221364603_1','0','221364603_2']"
1,"['219021369_4','219021369_1','0','219021369_2']"
1,"['209444959_5','209444959_1','0','209444959_2']"
1,"['209656781_3','209656781_1','0','209656781_2']"
1,"['113234352_5','113234352_1','113234352_6','113234352_2']"
1,"['219999274_5','219999274_1','0','219999274_2']"
1,"['222638564_4','222638564_1','0','222638564_2']"
1,"['154266487_5','154266487_1','154266487_6','154266487_2']"
1,"['214328028_5','214328028_1','0','214328028_2']"
1,"['216912058_6','216912058_1','0','216912058_2']"
1,"['212039633_3','212039633_1','0','212039633_2']"
1,"['223962835_7','223962835_2','0','223962835_3']"
1,"['204604555_5','204604555_1','0','204604555_2']"
1,"['217901977_4','217901977_1','217901977_5','217901977_2']"
1,"['205314756_5','205314756_1','0','205314756_2']"
1,"['204595576_6','204595576_1','204595576_7','204595576_2']"
1,"['220576389_7','220576389_1','0','220576389_2']"
1,"['224081261_5','224081261_1','0','224081261_2']"
1,"['224955118_3','0','0','224955118_1']"
1,"['185128116_3','185128116_1','185128116_5','185128116_2']"
1,"['104618739_3','104618739_1','104618739_5','104618739_2']"
1,"['215561429_6','215561429_1','215561429_7','215561429_2']"
1,"['220314076_4','220314076_1','0','220314076_2']"
1,"['224932599_8','224932599_1','0','224932599_2']"
1,"['224252227_5','224252227_1','0','224252227_2']"
1,"['216823767_5','216823767_1','0','216823767_2']"
1,"['219922967_4','219922967_1','0','219922967_2']"
1,"['212657463_3','212657463_1','212657463_4','212657463_2']"
1,"['223442051_7','223442051_1','0','223442051_2']"
1,"['166023105_7','166023105_1','166023105_8','166023105_2']"
1,"['213513797_5','213513797_1','0','213513797_2']"
1,"['223497375_5','223497375_1','0','223497375_2']"
1,"['219237381_5','219237381_1','0','219237381_2']"
1,"['200354782_6','200354782_1','0','200354782_2']"
1,"['216085045_4','216085045_1','0','216085045_2']"
1,"['213884972_4','213884972_1','0','213884972_2']"
1,"['217503860_3','217503860_1','217503860_4','217503860_2']"
1,"['211412753_5','211412753_1','211412753_6','211412753_2']"
1,"['225191205_3','225191205_1','0','225191205_2']"
1,"['221546386_3','0','0','221546386_1']"
1,"['216886370_5','216886370_1','216886370_6','216886370_2']"
1,"['222726412_5','222726412_1','0','222726412_2']"
1,"['204008143_5','204008143_1','0','204008143_2']"
1,"['222469912_4','222469912_1','0','222469912_2']"
1,"['216014345_6','216014345_1','0','216014345_2']"
1,"['220666415_6','220666415_1','0','220666415_2']"
1,"['185518581_4','185518581_1','185518581_5','185518581_2']"
1,"['220323073_4','220323073_1','220323073_5','220323073_2']"
1,"['210424325_4','210424325_1','0','210424325_2']"
1,"['211251912_3','0','0','211251912_1']"
1,"['220394903_9','220394903_1','0','220394903_2']"
1,"['217106672_4','217106672_1','217106672_5','217106672_2']"
1,"['218475897_4','218475897_1','0','218475897_2']"
1,"['220678808_6','220678808_2','0','220678808_3']"
1,"['193892928_4','0','0','193892928_1']"
1,"['121400316_3','121400316_1','121400316_4','121400316_2']"
1,"['223366441_5','223366441_1','0','223366441_2']"
1,"['217616952_5','217616952_1','0','217616952_2']"
1,"['215841036_4','215841036_1','215841036_5','215841036_2']"
1,"['195986679_4','195986679_1','0','195986679_2']"
1,"['225113123_4','0','0','225113123_1']"
1,"['217949903_5','217949903_1','217949903_6','217949903_2']"
1,"['154934855_4','154934855_1','154934855_5','154934855_2']"
1,"['208584922_4','208584922_1','0','208584922_2']"
1,"['224936456_4','224936456_1','224936456_5','224936456_2']"
1,"['225100185_4','225100185_1','0','225100185_2']"
1,"['204670393_4','204670393_1','0','204670393_2']"
1,"['97748571_6','97748571_1','0','97748571_2']"
1,"['61901800_3','0','0','61901800_1']"
1,"['221789703_3','0','0','221789703_1']"
1,"['213205177_6','213205177_1','0','213205177_2']"
1,"['82803585_5','82803585_1','0','82803585_2']"
1,"['208257316_4','208257316_1','208257316_5','208257316_2']"
1,"['212537441_4','212537441_1','0','212537441_2']"
1,"['167360232_3','0','167360232_4','167360232_1']"
1,"['194107452_5','194107452_1','194107452_7','194107452_3']"
1,"['225308652_6','0','0','225308652_1']"
1,"['197484561_2','0','0','197484561_1']"
1,"['223540173_4','223540173_1','0','223540173_2']"
1,"['225207895_4','225207895_1','0','225207895_2']"
1,"['85306840_4','85306840_1','0','85306840_2']"
1,"['222463138_6','222463138_1','0','222463138_2']"
1,"['213192516_4','213192516_1','213192516_5','213192516_2']"
1,"['222406016_5','222406016_1','0','222406016_2']"
1,"['211760950_5','211760950_1','0','211760950_2']"
1,"['221450100_3','221450100_1','221450100_4','221450100_2']"
1,"['223478594_6','223478594_1','0','223478594_2']"
1,"['223100904_4','0','0','223100904_1']"
1,"['220790417_5','220790417_1','0','220790417_2']"
1,"['219720649_6','219720649_1','0','219720649_2']"
1,"['225331095_3','225331095_1','0','225331095_2']"
1,"['126324670_4','126324670_1','0','126324670_2']"
1,"['220163234_4','220163234_1','0','220163234_2']"
1,"['222649446_5','0','0','222649446_1']"
1,"['199847549_4','199847549_1','0','199847549_2']"
1,"['199598739_5','0','0','199598739_1']"
1,"['225185734_5','225185734_1','0','225185734_2']"
1,"['199633211_6','199633211_1','0','199633211_2']"
1,"['211812569_4','211812569_1','211812569_5','211812569_2']"
1,"['202775380_6','202775380_1','0','202775380_2']"
1,"['222490895_3','222490895_1','0','222490895_2']"
1,"['221449210_6','221449210_1','0','221449210_2']"
1,"['214769140_4','0','0','214769140_1']"
1,"['222979220_4','0','0','222979220_1']"
1,"['219399027_3','0','0','219399027_1']"
1,"['219042150_4','219042150_1','0','219042150_2']"
1,"['181784999_3','181784999_1','181784999_5','181784999_2']"
1,"['223219439_4','223219439_1','0','223219439_2']"
1,"['222123211_4','222123211_1','0','222123211_2']"
1,"['220225947_5','220225947_1','0','220225947_2']"
1,"['225279239_2','0','0','225279239_1']"
1,"['212848040_8','212848040_1','0','212848040_3']"
1,"['200921696_2','0','200921696_3','200921696_1']"
1,"['130417366_6','130417366_1','0','130417366_2']"
1,"['217265461_4','217265461_1','217265461_5','217265461_2']"
1,"['105008499_3','0','0','105008499_1']"
1,"['213644321_3','213644321_1','0','213644321_2']"
1,"['214999681_4','214999681_1','0','214999681_2']"
1,"['219051674_5','219051674_1','219051674_6','219051674_2']"
1,"['220303397_3','220303397_1','0','220303397_2']"
1,"['218565535_3','218565535_1','0','218565535_2']"
1,"['212594524_5','212594524_1','0','212594524_2']"
1,"['198977936_4','198977936_1','0','198977936_2']"
1,"['195444875_5','195444875_1','0','195444875_2']"
1,"['220726849_6','220726849_1','0','220726849_2']"
1,"['199837584_4','199837584_1','0','199837584_2']"
1,"['220009434_5','220009434_1','220009434_6','220009434_2']"
1,"['223958413_4','223958413_1','223958413_5','223958413_2']"
1,"['225278160_4','225278160_1','0','225278160_2']"
1,"['225049421_5','225049421_1','0','225049421_2']"
1,"['222916352_4','222916352_1','0','222916352_2']"
1,"['224099048_9','224099048_2','0','224099048_3']"
1,"['222378381_3','222378381_1','0','222378381_2']"
1,"['177802232_3','0','0','177802232_1']"
1,"['220981335_3','0','220981335_4','220981335_1']"
1,"['209905837_4','209905837_1','0','209905837_2']"
1,"['161474972_6','161474972_1','0','161474972_3']"
1,"['166194546_3','166194546_1','0','166194546_2']"
1,"['224190513_4','224190513_1','224190513_5','224190513_2']"
1,"['221509922_4','221509922_1','221509922_5','221509922_2']"
1,"['217161125_4','217161125_1','0','217161125_2']"
1,"['212969722_6','212969722_1','0','212969722_2']"
1,"['221194929_6','221194929_1','0','221194929_2']"
1,"['216203886_5','216203886_1','216203886_7','216203886_2']"
1,"['220405848_7','220405848_1','0','220405848_2']"
1,"['139773825_3','139773825_1','139773825_4','139773825_2']"
1,"['210279687_4','0','0','210279687_1']"
1,"['224234737_3','224234737_1','0','224234737_2']"
1,"['223661019_3','223661019_1','0','223661019_2']"
1,"['207683383_5','207683383_1','0','207683383_2']"
1,"['222143293_4','222143293_1','0','222143293_2']"
1,"['224933426_6','224933426_1','0','224933426_2']"
1,"['158915818_6','158915818_1','0','158915818_2']"
1,"['173244929_5','173244929_1','173244929_6','173244929_3']"
1,"['224933058_4','0','0','224933058_1']"
