compatibility,outfit_sample
1,"['0','0','199244701_2','0','199244701_1','199244701_6']"
1,"['0','0','200742384_2','0','200742384_1','200742384_5']"
1,"['0','206955877_5','206955877_2','206955877_6','206955877_1','0']"
1,"['0','0','220340816_2','0','220340816_1','220340816_5']"
1,"['219393187_4','219393187_5','219393187_2','0','219393187_1','0']"
1,"['221316971_4','0','221316971_2','0','221316971_1','0']"
1,"['0','0','0','0','218460735_1','218460735_4']"
1,"['224937990_3','224937990_4','224937990_2','0','224937990_1','0']"
1,"['0','0','217183057_2','0','217183057_1','217183057_4']"
1,"['0','0','199287279_2','0','199287279_1','199287279_5']"
1,"['0','0','225139325_2','0','225139325_1','225139325_6']"
1,"['0','0','223613586_2','0','223613586_1','223613586_6']"
1,"['0','0','206933845_3','0','206933845_1','206933845_6']"
1,"['222637665_4','222637665_6','222637665_2','222637665_7','222637665_1','0']"
1,"['0','0','220189264_1','0','0','220189264_4']"
1,"['0','0','219816430_2','0','219816430_1','219816430_3']"
1,"['222964080_2','222964080_3','0','0','222964080_1','0']"
1,"['187821847_2','187821847_3','187821847_1','0','0','0']"
1,"['0','0','133059337_1','0','0','133059337_2']"
1,"['0','0','224535216_2','0','224535216_1','224535216_7']"
1,"['182943602_3','182943602_5','0','0','182943602_1','0']"
1,"['125864349_4','125864349_6','125864349_2','0','125864349_1','0']"
1,"['197948133_4','197948133_5','197948133_2','197948133_6','197948133_1','0']"
1,"['146175434_4','146175434_5','146175434_2','146175434_6','146175434_1','0']"
1,"['0','213226281_4','213226281_2','0','213226281_1','0']"
1,"['75689451_4','75689451_6','75689451_2','75689451_8','75689451_1','0']"
1,"['0','0','218740991_2','0','218740991_1','218740991_4']"
1,"['223283878_3','223283878_4','223283878_2','223283878_5','223283878_1','0']"
1,"['217262316_3','217262316_4','217262316_2','217262316_5','217262316_1','0']"
1,"['182075937_3','182075937_4','182075937_1','0','0','0']"
1,"['0','0','200577254_1','200577254_4','0','0']"
1,"['183032057_4','183032057_5','183032057_2','0','183032057_1','0']"
1,"['222510899_6','222510899_8','222510899_3','222510899_9','222510899_1','0']"
1,"['221654195_3','0','221654195_2','0','221654195_1','0']"
1,"['65069483_4','65069483_5','65069483_1','65069483_6','0','0']"
1,"['219269856_4','219269856_6','219269856_2','0','219269856_1','0']"
1,"['209190085_3','209190085_5','209190085_2','209190085_6','209190085_1','0']"
1,"['0','0','139137852_2','139137852_4','139137852_1','139137852_3']"
1,"['218354785_5','218354785_8','218354785_2','0','218354785_1','218354785_7']"
1,"['0','0','220785821_1','0','0','220785821_2']"
1,"['0','223503521_4','223503521_2','0','223503521_1','0']"
1,"['0','0','161808845_2','0','161808845_1','161808845_4']"
1,"['193200102_3','193200102_5','193200102_2','0','193200102_1','0']"
1,"['224374412_4','224374412_6','224374412_2','0','224374412_1','224374412_5']"
1,"['0','0','210022221_2','0','210022221_1','0']"
1,"['0','0','219216307_2','0','219216307_1','219216307_5']"
1,"['216585060_3','216585060_5','216585060_1','0','0','0']"
1,"['198147873_3','198147873_5','198147873_2','0','198147873_1','0']"
1,"['220958461_4','220958461_5','220958461_2','0','220958461_1','0']"
1,"['0','0','221144164_2','0','221144164_1','221144164_5']"
1,"['88810535_4','88810535_5','88810535_2','88810535_6','88810535_1','0']"
1,"['0','0','136144667_3','136144667_9','136144667_2','136144667_7']"
1,"['156329915_5','156329915_7','156329915_2','0','156329915_1','0']"
1,"['0','0','170897888_2','0','170897888_1','170897888_3']"
1,"['0','0','225267219_1','0','0','225267219_5']"
1,"['0','0','184256339_2','184256339_7','184256339_1','184256339_6']"
1,"['218280140_3','218280140_4','218280140_2','0','218280140_1','0']"
1,"['0','0','220542731_2','0','220542731_1','220542731_5']"
1,"['225297450_3','225297450_4','225297450_2','0','225297450_1','0']"
1,"['215036866_3','215036866_5','215036866_2','0','215036866_1','0']"
1,"['220633162_3','220633162_5','220633162_2','220633162_6','220633162_1','0']"
1,"['224765340_4','224765340_5','224765340_2','0','224765340_1','0']"
1,"['215905365_5','215905365_6','215905365_2','0','215905365_1','0']"
1,"['222219298_4','222219298_5','222219298_2','0','222219298_1','0']"
1,"['224471144_3','224471144_5','224471144_2','0','224471144_1','0']"
1,"['0','0','220379596_2','0','220379596_1','220379596_5']"
1,"['222893142_3','222893142_4','222893142_2','0','222893142_1','0']"
1,"['223398580_4','223398580_5','223398580_2','0','223398580_1','0']"
1,"['0','222887917_2','0','0','222887917_1','0']"
1,"['0','0','0','0','221451639_1','0']"
1,"['221614498_2','0','0','0','0','0']"
1,"['224464192_6','224464192_7','224464192_2','0','224464192_1','0']"
1,"['0','0','221653431_2','0','221653431_1','221653431_5']"
